,country,year,litres per capita average
907,Dominican Republic,2000,7.1
908,Cameroon,2000,7.2
909,Iceland,2000,7.3
910,Seychelles,2000,7.5
911,Albania,2000,7.5
912,Equatorial Guinea,2000,7.5
913,Latvia,2000,7.6
914,Guyana,2000,7.7
915,Burkina Faso,2000,7.8
916,Chile,2000,7.8
917,Eswatini,2000,7.9
918,Niue,2000,7.9
919,Thailand,2000,8.0
920,Japan,2000,8.1
921,Kazakhstan,2000,8.2
922,Dominica,2000,8.4
923,Uruguay,2000,8.4
924,Sweden,2000,8.6
925,United Republic of Tanzania,2000,8.7
926,Argentina,2000,8.7
927,Burundi,2000,8.9
928,Sao Tome and Principe,2000,8.9
929,Brazil,2000,8.9
930,Venezuela (Bolivarian Republic of),2000,9.2
931,Canada,2000,9.3
932,Poland,2000,9.4
933,Grenada,2000,9.4
934,United States of America,2000,9.4
935,South Africa,2000,9.6
